"newspaper_edition_date","headline"
2021-07-12,"Ugandan minister blames west for Covid vaccine shortage"
NA,"Victorian health service can fire nurses who refuse Covid vaccine, court rules"
2021-09-16,"Covid teams can vaccinate pupils against parents’ wishes, schools told"
2021-11-15,"UK firm to trial T-cell Covid vaccine that could give longer immunity "
NA,"Australia has delivered just 8% of Covid vaccinations promised to developing nations"
NA,"Covid booster vaccine ‘highly likely’, says UK government adviser"
2021-08-17,"No evidence Covid vaccine raises risk of miscarriage, MHRA says"
NA,"NSW and Victoria open border for fully vaccinated"
NA,"Rising Covid vaccination rates reduce need for mandates, new human rights commissioner says"
NA,"US throws out millions of doses of Covid vaccine as world goes wanting"
2021-10-29,"India: over 100 million people fail to turn up for second Covid vaccine"
2021-08-06,"UK faces difficult choices on future Covid vaccination strategy"
2021-11-11,"Care homes in England set to lose 50,000 staff as Covid vaccine becomes mandatory"
NA,"No 10 to press on with plans for Covid vaccine passports in England"
NA,"NSW Covid vaccination rate by postcode: check the percentages in your postcode – interactive map"
NA,"Explainer: how are Covid vaccines allocated among Australia’s states and territories?"
2021-09-11,"Scientists’ egos are key barrier to progress, says Covid vaccine pioneer"
2021-10-04,"Girl, 15, dies of Covid on day she was due to get vaccine"
NA,"Thousands of AstraZeneca Covid vaccine doses going to waste despite near-record production"
NA,"NSW relaxes Covid rules for vaccinated despite record 1,029 cases"
NA,"FDA advisers recommend approval of Pfizer’s Covid vaccine for kids aged 5-11"
NA,"Covid quarantine to be dropped for some Britons vaccinated abroad"
2021-07-29,"Covid: what is changing for fully vaccinated travellers to England? "
NA,"‘Really disturbing’: Moree Aboriginal community urged to get vaccinated as Covid outbreak grows"
2021-03-01,"Chile emerges as global leader in Covid inoculations with 'pragmatic strategy'"
2021-08-07,"JCVI ‘largely opposed’ to Covid vaccination for children under 16"
2021-11-15,"‘I was anxious at first’: how Covid helped vaccine-sceptic Japan overcome its hesitancy"
NA,"Covid vaccines earmarked for NSW prison inmates diverted to HSC students"
2021-12-09,"Government’s vaccination strategy is not designed to support the NHS "
2021-09-03,"Japan’s Moderna Covid vaccine rollout hit by recall and contamination scares"
NA,"Covid booster vaccines to be rolled out in Australian nursing homes within weeks"
NA,"Liberal senator Gerard Rennick to withhold vote in protest against Covid vaccine mandates"
2021-09-14,"Fully vaccinated people account for 1.2% of England’s Covid-19 deaths"
NA,"Vaccination rates lowest in Sydney suburbs with most Covid cases"
NA,"Big pharma fuelling human rights crisis over Covid vaccine inequity – Amnesty"
NA,"Fox News’s Neil Cavuto ‘begs’ viewers to ‘stop the politics’ and get Covid vaccine"
2021-08-05,"Fitness enthusiast, 42, who rejected vaccine, dies of Covid"
NA,"Australia’s Covid vaccine challenges have been ‘overcome’, Scott Morrison says"
2021-10-30,"Gordon Brown urges rich countries to airlift surplus Covid vaccines to world’s poorest"
2021-09-20,"Gordon Brown calls for urgent action to avert ‘Covid vaccine waste disaster’"
